곡명,악보난이도,서열,개인차
Go Ahead!!,ANOTHER,S+,FALSE
Go Beyond!!,ANOTHER,S+,FALSE
ICARUS,LEGGENDARIA,S+,FALSE
KAISER PHOENIX,LEGGENDARIA,S+,FALSE
KAMAITACHI,LEGGENDARIA,S+,FALSE
Mare Nectaris,ANOTHER,S+,FALSE
Sigmund,LEGGENDARIA,S+,FALSE
Verflucht,LEGGENDARIA,S+,FALSE
3y3s,ANOTHER,S+,FALSE
卑弥呼,ANOTHER,S+,FALSE
Χ-DEN,ANOTHER,S+,FALSE
疾風迅雷,LEGGENDARIA,S+,FALSE
冥,ANOTHER,S+,FALSE
DIAVOLO,ANOTHER,S+,TRUE
Plan 8,ANOTHER,S+,TRUE
Thor's Hammer,ANOTHER,S+,TRUE
Timepiece phase II(CN Ver.),ANOTHER,S+,TRUE
灼熱Beach Side Bunny,ANOTHER,S+,TRUE
灼熱 Pt.2 Long Train Running,ANOTHER,S+,TRUE
Almagest,ANOTHER,S,FALSE
Carmina,ANOTHER,S,FALSE
Chrono Diver -PENDULUMs-,ANOTHER,S,FALSE
Confiserie,ANOTHER,S,FALSE
EBONY & IVORY,LEGGENDARIA,S,FALSE
Elemental Creation,ANOTHER,S,FALSE
EMERALDAS,ANOTHER,S,FALSE
Feel The Beat,LEGGENDARIA,S,FALSE
GO OVER WITH GLARE -ROOTAGE 26-,ANOTHER,S,FALSE
perditus†paradisus,ANOTHER,S,FALSE
Sigmund,ANOTHER,S,FALSE
VANESSA,LEGGENDARIA,S,FALSE
駅猫のワルツ,ANOTHER,S,FALSE
煉獄のエルフェリア,ANOTHER,S,FALSE
焔極OVERKILL,ANOTHER,S,FALSE
共鳴遊戯の華,ANOTHER,S,FALSE
嘆きの樹,ANOTHER,S,FALSE
IX,ANOTHER,S,FALSE
BLACK.by X-Cross Fade,ANOTHER,S,TRUE
DIAMOND CROSSING,ANOTHER,S,TRUE
Dynamite,ANOTHER,S,TRUE
ECHIDNA,ANOTHER,S,TRUE
Fascination MAXX,ANOTHER,S,TRUE
Level One,ANOTHER,S,TRUE
NZM,ANOTHER,S,TRUE
Red. by Jack Trance,ANOTHER,S,TRUE
The Chase,ANOTHER,S,TRUE
Y&Co. is dead or alive,ANOTHER,S,TRUE
Ancient Scapes,LEGGENDARIA,A+,FALSE
B4U(BEMANI FOR YOU MIX),LEGGENDARIA,A+,FALSE
Blue Spring Express,ANOTHER,A+,FALSE
CHRONO DIVER -NORNIR-,LEGGENDARIA,A+,FALSE
CONTRACT,LEGGENDARIA,A+,FALSE
DEATH†ZIGOQ〜怒りの高速爆走野郎〜,ANOTHER,A+,FALSE
GuNGNiR,ANOTHER,A+,FALSE
Initiation,ANOTHER,A+,FALSE
KAISER PHOENIX,ANOTHER,A+,FALSE
PARADISE LOST,ANOTHER,A+,FALSE
Quakes,ANOTHER,A+,FALSE
THE F∀UST,ANOTHER,A+,FALSE
Unbelief,ANOTHER,A+,FALSE
Verflucht,ANOTHER,A+,FALSE
voltississimo,ANOTHER,A+,FALSE
お菓子の王国,ANOTHER,A+,FALSE
シムルグの目醒め,ANOTHER,A+,FALSE
金野火織の金色提言,ANOTHER,A+,FALSE
千年ノ理,LEGGENDARIA,A+,FALSE
東京神話,ANOTHER,A+,FALSE
超青少年ノ為ノ超多幸ナ超古典的超舞曲,LEGGENDARIA,A+,FALSE
invoker,LEGGENDARIA,A+,TRUE
Reflux,ANOTHER,A+,TRUE
SCREW // owo // SCREW,ANOTHER,A+,TRUE
Snake Stick,ANOTHER,A+,TRUE
VOX UP,ANOTHER,A+,TRUE
255,ANOTHER,A+,TRUE
真 地獄超特急 -HELL or HELL-,ANOTHER,A+,TRUE
ANCHOR,ANOTHER,A,FALSE
Antigravity,ANOTHER,A,FALSE
Bad Maniacs,ANOTHER,A,FALSE
Blue Rain,LEGGENDARIA,A,FALSE
Boomy and The Boost,ANOTHER,A,FALSE
Close the World feat.a☆ru,LEGGENDARIA,A,FALSE
Despair of ELFERIA,ANOTHER,A,FALSE
Devil's Gear,ANOTHER,A,FALSE
DORNWALD 〜Junge〜,ANOTHER,A,FALSE
fallen leaves -IIDX edition-,ANOTHER,A,FALSE
HAERETICUS,ANOTHER,A,FALSE
Hollywood Galaxy,ANOTHER,A,FALSE
"Life Is A Game ft.DD""ナカタ""Metal",ANOTHER,A,FALSE
Mächö Mönky,ANOTHER,A,FALSE
MENDES,ANOTHER,A,FALSE
Painful Fate,ANOTHER,A,FALSE
quell〜the seventh slave〜,ANOTHER,A,FALSE
reunion,ANOTHER,A,FALSE
SOLID STATE SQUAD,LEGGENDARIA,A,FALSE
THE BRAVE MUST DIE,ANOTHER,A,FALSE
Triple Counter,ANOTHER,A,FALSE
TRIUMPH,ANOTHER,A,FALSE
Xlø,ANOTHER,A,FALSE
Xperanza,ANOTHER,A,FALSE
Zirkfied,ANOTHER,A,FALSE
キャトられ♥恋はモ〜モク,ANOTHER,A,FALSE
"ピアノ協奏曲第１番""蠍火""",ANOTHER,A,FALSE
天空の夜明け,ANOTHER,A,FALSE
津軽雪,ANOTHER,A,FALSE
華麗なる大犬円舞曲,ANOTHER,A,FALSE
BLUE MIRAGE,ANOTHER,A,TRUE
Flashes,ANOTHER,A,TRUE
JOMANDA,ANOTHER,A,TRUE
PARANOiA〜HADES〜,ANOTHER,A,TRUE
rage against usual,ANOTHER,A,TRUE
Rave*it!! Rave*it!!,ANOTHER,A,TRUE
Red. by Full Metal Jacket,ANOTHER,A,TRUE
Snakey Kung-fu,ANOTHER,A,TRUE
Watch Out Pt.2,ANOTHER,A,TRUE
waxing and wanding,LEGGENDARIA,A,TRUE
199024club -Re:BounceKiller-,ANOTHER,A,TRUE
音楽,ANOTHER,A,TRUE
BLUE DRAGON(雷龍RemixIIDX),ANOTHER,B+,FALSE
DEADHEAT,ANOTHER,B+,FALSE
Devilz Staircase,ANOTHER,B+,FALSE
EXUSIA,ANOTHER,B+,FALSE
G59,ANOTHER,B+,FALSE
Godspeed,ANOTHER,B+,FALSE
Grand Chariot,ANOTHER,B+,FALSE
HADES,ANOTHER,B+,FALSE
Illusionary Waterlily,ANOTHER,B+,FALSE
INSOMNIA,ANOTHER,B+,FALSE
Monopole.,ANOTHER,B+,FALSE
NITROUS CANNON,ANOTHER,B+,FALSE
Session 9 -Chronicles-,ANOTHER,B+,FALSE
Sky High,ANOTHER,B+,FALSE
Slipstream,ANOTHER,B+,FALSE
STARLIGHT DANCEHALL,LEGGENDARIA,B+,FALSE
StrayedCatz,ANOTHER,B+,FALSE
STULTI,ANOTHER,B+,FALSE
The Rebellion of Sequencer,ANOTHER,B+,FALSE
Timepiece phase II,ANOTHER,B+,FALSE
TOXIC VIBRATION,ANOTHER,B+,FALSE
Trill auf G,ANOTHER,B+,FALSE
Twelfth Style,LEGGENDARIA,B+,FALSE
Übertreffen,LEGGENDARIA,B+,FALSE
Welcome,LEGGENDARIA,B+,FALSE
We're so Happy(P*Light Remix) IIDX ver.,ANOTHER,B+,FALSE
X,ANOTHER,B+,FALSE
YAKSHA,ANOTHER,B+,FALSE
子供の落書き帳,ANOTHER,B+,FALSE
抱きしめてモナムール,ANOTHER,B+,FALSE
†渚の小悪魔ラヴリィ〜レイディオ†(IIDX EDIT),ANOTHER,B+,FALSE
少年は空を辿る,ANOTHER,B+,FALSE
仮想空間の旅人たち,LEGGENDARIA,B+,FALSE
轟け！恋のビーンボール！！,ANOTHER,B+,FALSE
AIR RAID FROM THA UNDAGROUND,LEGGENDARIA,B+,TRUE
DAY DREAM,ANOTHER,B+,TRUE
DropZ-Line-,ANOTHER,B+,TRUE
Papilio ulysses,ANOTHER,B+,TRUE
ra'am,ANOTHER,B+,TRUE
Visterhv,ANOTHER,B+,TRUE
焱影,ANOTHER,B+,TRUE
廿,LEGGENDARIA,B+,TRUE
AA -rebuild-,ANOTHER,B,FALSE
Amazing Mirage,LEGGENDARIA,B,FALSE
AO-1,ANOTHER,B,FALSE
BITTER CHOCOLATE STRIKER,ANOTHER,B,FALSE
Broken Sword,ANOTHER,B,FALSE
cinder,ANOTHER,B,FALSE
Close the World feat.a☆ru,ANOTHER,B,FALSE
CODE:1 [revision 1.0.1],ANOTHER,B,FALSE
Colorful Cookie,ANOTHER,B,FALSE
Cosmic Cat,LEGGENDARIA,B,FALSE
Dances with Snow Fairies,ANOTHER,B,FALSE
DARK LEGACY,ANOTHER,B,FALSE
DOMINION,ANOTHER,B,FALSE
EBONY & IVORY,ANOTHER,B,FALSE
GENE,ANOTHER,B,FALSE
KILL EACH OTHER,ANOTHER,B,FALSE
Konzert V,ANOTHER,B,FALSE
LOST TECHNOLOGIE,ANOTHER,B,FALSE
NEO GENERATOR SEVEN,ANOTHER,B,FALSE
neu,ANOTHER,B,FALSE
OTENAMI Hurricane,ANOTHER,B,FALSE
Proof of the existence,ANOTHER,B,FALSE
QUANTUM TELEPORTATION,LEGGENDARIA,B,FALSE
quaver♪,ANOTHER,B,FALSE
refrain,ANOTHER,B,FALSE
ruin of opals,ANOTHER,B,FALSE
SAY BAY,ANOTHER,B,FALSE
Shooting Fireball,ANOTHER,B,FALSE
Super Rush,ANOTHER,B,FALSE
SYNC-ANTHEM,ANOTHER,B,FALSE
T-REX vs Velociraptor (In the Far east euphoria),ANOTHER,B,FALSE
THANK YOU FOR PLAYING,LEGGENDARIA,B,FALSE
THE DEEP STRIKER,LEGGENDARIA,B,FALSE
The Limbo,ANOTHER,B,FALSE
Valanga,ANOTHER,B,FALSE
VOX RUSH,ANOTHER,B,FALSE
龍と少女とデコヒーレンス,LEGGENDARIA,B,FALSE
不沈艦CANDY,ANOTHER,B,FALSE
疾風迅雷,ANOTHER,B,FALSE
リリーゼと炎龍レーヴァテイン,ANOTHER,B,FALSE
#MAGiCVLGiRL_TRVP_B3VTZ,ANOTHER,B,FALSE
深淵に捧ぐレクイエム,ANOTHER,B,FALSE
聖人の塔,ANOTHER,B,FALSE
神謳 -RESONANCE-,ANOTHER,B,FALSE
それは花火のような恋,ANOTHER,B,FALSE
たまゆら,ANOTHER,B,FALSE
FANTASTIC THREE,ANOTHER,B,TRUE
IMPLANTATION,ANOTHER,B,TRUE
Invitation from Mr.C,ANOTHER,B,TRUE
New Castle Legions,ANOTHER,B,TRUE
ONIGOROSHI,ANOTHER,B,TRUE
Sense 2007,ANOTHER,B,TRUE
TOGAKUSHI,ANOTHER,B,TRUE
アストライアの双皿,ANOTHER,B,TRUE
Ancient Scapes,ANOTHER,C,FALSE
Candy Galy,ANOTHER,C,FALSE
Colors(radio edit),ANOTHER,C,FALSE
Dr. Chemical & Killing Machine,ANOTHER,C,FALSE
ELECTRIC MASSIVE DIVER,ANOTHER,C,FALSE
entelecheia,ANOTHER,C,FALSE
Evans,ANOTHER,C,FALSE
Feel The Beat,ANOTHER,C,FALSE
fffff,ANOTHER,C,FALSE
FUZIN RIZIN,ANOTHER,C,FALSE
GAIA,ANOTHER,C,FALSE
GOLDEN CROSS,ANOTHER,C,FALSE
Gravigazer,ANOTHER,C,FALSE
HARD BRAIN,ANOTHER,C,FALSE
Idola,ANOTHER,C,FALSE
Kung-fu Empire,LEGGENDARIA,C,FALSE
L.F.O,ANOTHER,C,FALSE
Last Dance,ANOTHER,C,FALSE
Little Little Princess,LEGGENDARIA,C,FALSE
M4K3 1T B0UNC3,ANOTHER,C,FALSE
Nightmare before oversleep,ANOTHER,C,FALSE
NNRT,ANOTHER,C,FALSE
One More Lovely,ANOTHER,C,FALSE
PUNISHER,ANOTHER,C,FALSE
Say YEEEAHH,ANOTHER,C,FALSE
Sol Cosine Job 2,ANOTHER,C,FALSE
Sounds Of Summer,ANOTHER,C,FALSE
THE DAY OF JUBILATIONS,ANOTHER,C,FALSE
WONDER WALKER,ANOTHER,C,FALSE
ZZ,ANOTHER,C,FALSE
紫陽花 -AZISAI-,ANOTHER,C,FALSE
童話回廊,ANOTHER,C,FALSE
表裏一体!?怪盗いいんちょの悩み♥,ANOTHER,C,FALSE
イザナミノナゲキ,ANOTHER,C,FALSE
恋する☆宇宙戦争っ!!,ANOTHER,C,FALSE
狂イ咲ケ焔ノ華,ANOTHER,C,FALSE
めいさいアイドル☆あいむちゃん♪,ANOTHER,C,FALSE
夏色DIARY - L.E.D.-G STYLE MIX -,ANOTHER,C,FALSE
シュレーディンガーの猫,ANOTHER,C,FALSE
旋律のドグマ 〜Miserables〜,ANOTHER,C,FALSE
〆,ANOTHER,C,FALSE
最小三倍完全数,ANOTHER,C,FALSE
即席！脳直★ミュージックシステム,ANOTHER,C,FALSE
トリカゴノ鳳凰,ANOTHER,C,FALSE
Adularia,ANOTHER,C,TRUE
Caterpillar,ANOTHER,C,TRUE
DUE TOMORROW,ANOTHER,C,TRUE
FAKE TIME,ANOTHER,C,TRUE
Lethal Weapon,ANOTHER,C,TRUE
POSSESSION,ANOTHER,C,TRUE
Scripted Connection⇒ A mix,ANOTHER,C,TRUE
TECHNO Style Essentials,ANOTHER,C,TRUE
"ワルツ第17番 ト短調""大犬のワルツ""",ANOTHER,C,TRUE
海神,ANOTHER,C,TRUE
AA,ANOTHER,D,FALSE
ALBIDA,ANOTHER,D,FALSE
Beat Radiance,LEGGENDARIA,D,FALSE
Broken,ANOTHER,D,FALSE
Carry Me Away,ANOTHER,D,FALSE
Catch Our Fire!,ANOTHER,D,FALSE
Concertino in Blue,ANOTHER,D,FALSE
dAuntl3ss,ANOTHER,D,FALSE
Drastic Dramatic,ANOTHER,D,FALSE
DRUNK MONKY,ANOTHER,D,FALSE
EVANESCENT,ANOTHER,D,FALSE
FIRE FIRE,ANOTHER,D,FALSE
Highcharge Divolt,ANOTHER,D,FALSE
Liberation,ANOTHER,D,FALSE
oratio,ANOTHER,D,FALSE
Persephone,ANOTHER,D,FALSE
Please Welcome Mr.C,ANOTHER,D,FALSE
RAIN,ANOTHER,D,FALSE
Rampage,ANOTHER,D,FALSE
Rave Cannon,ANOTHER,D,FALSE
Rave Patroller,ANOTHER,D,FALSE
SOLID STATE SQUAD,ANOTHER,D,FALSE
SpaceLand☆TOYBOX,ANOTHER,D,FALSE
spiral galaxy,LEGGENDARIA,D,FALSE
Summerlights(IIDX Edition),ANOTHER,D,FALSE
The Least 100sec,ANOTHER,D,FALSE
The Sampling Paradise,ANOTHER,D,FALSE
Thunderbolt,ANOTHER,D,FALSE
TIEFSEE,ANOTHER,D,FALSE
Todestrieb,ANOTHER,D,FALSE
True Blue,ANOTHER,D,FALSE
V,ANOTHER,D,FALSE
VANESSA,ANOTHER,D,FALSE
刃図羅,ANOTHER,D,FALSE
電人､暁に斃れる。,ANOTHER,D,FALSE
少年A,ANOTHER,D,FALSE
九尾狐夜行,ANOTHER,D,FALSE
eRAseRmOToRpHAntOM,ANOTHER,D,TRUE
ICARUS,ANOTHER,D,TRUE
Innocent Walls,ANOTHER,D,TRUE
one or eight,ANOTHER,D,TRUE
PLEASE DON'T GO,ANOTHER,D,TRUE
桜,ANOTHER,D,TRUE
Arca,ANOTHER,E,FALSE
encounter,ANOTHER,E,FALSE
F,ANOTHER,E,FALSE
GRID KNIGHT,LEGGENDARIA,E,FALSE
invoker,ANOTHER,E,FALSE
LASER CRUSTER,ANOTHER,E,FALSE
Little Star,ANOTHER,E,FALSE
moon_child,ANOTHER,E,FALSE
NINJA IS DEAD IIDX ver.,ANOTHER,E,FALSE
Raspberry Railgun,ANOTHER,E,FALSE
RED ZONE,LEGGENDARIA,E,FALSE
Steel Edge,ANOTHER,E,FALSE
Symmetry,ANOTHER,E,FALSE
Venom,ANOTHER,E,FALSE
紅牡丹,ANOTHER,E,FALSE
ΕΛΠΙΣ,ANOTHER,E,FALSE
カゴノトリ〜弐式〜,ANOTHER,E,FALSE
黒髪乱れし修羅となりて,ANOTHER,E,FALSE
Innocent Walls,HYPER,E,TRUE
mosaic,ANOTHER,E,TRUE
sakura storm,ANOTHER,E,TRUE
SCREAM SQUAD,ANOTHER,E,TRUE
TROOPERS,ANOTHER,E,TRUE
雪月花,ANOTHER,E,TRUE
A,ANOTHER,F,FALSE
Apocalypse,ANOTHER,F,FALSE
gigadelic,HYPER,F,FALSE
gigadelic,ANOTHER,F,FALSE
Primitive Vibes,ANOTHER,F,FALSE
Ristaccia,ANOTHER,F,FALSE
snow storm,LEGGENDARIA,F,FALSE
SPECIAL SUMMER CAMPAIGN!,ANOTHER,F,FALSE
千年ノ理,ANOTHER,F,FALSE
